0.01	0.000296841	0.000118073
0.11	0.000289545	0.000182619
0.21	0.00381752	0.00165879
0.31	0.00241339	0.000652903
0.41	0.00902152	0.00300382
0.51	0.00485531	0.00159365
0.61	0.00875442	0.00545939
0.71	0.00464203	0.00394065
0.81	0.0681194	0.0725622
0.91	0.0269803	0.035969
1.01	0.0220984	0.0122687
1.11	0.0038748	0.00731403
1.21	0.00622035	0.00865004
1.31	0.00528313	0.00545002
1.41	0.00221701	0.00317187
1.51	0.00275096	0.00525691
1.61	0.00109671	0.00134031
1.71	0.00195491	0.00279118
1.81	0.000953394	0.00123389
1.91	0.000442898	0.000489182
2.01	0.000875418	0.000993465
2.11	0.000626052	0.000843132
2.21	0.000548588	0.000539944
2.31	0.0008425	0.00134087
2.41	0.000545266	0.000444728
2.51	0.000286867	0.000313774
2.61	0.000368124	0.00071072
2.71	0.000102315	0.000151951
2.81	0.00078625	0.000939958
2.91	0.000562989	0.000988401
3.01	0.000409967	0.000495727
3.11	0.000351697	0.000421908
3.21	0.000392643	0.000504236
3.31	0.000438305	0.000566137
3.41	0.00067848	0.00103989
3.51	0.000143492	0.000181333
3.61	0.000436027	0.000295724
3.71	0.000246184	0.00026916
3.81	0.000725159	0.00110902
3.91	0.000439525	0.000376088
