0.01	1543.4
0.11	15.263
0.21	4.41902
0.31	2.14406
0.41	1.22368
0.51	0.7708
0.61	0.510549
0.71	0.353615
0.81	0.244683
0.91	0.166018
1.01	0.113208
1.11	0.0739108
1.21	0.0543962
1.31	0.0378471
1.41	0.0273101
1.51	0.0204914
1.61	0.0164679
1.71	0.0116975
1.81	0.00936598
1.91	0.00729161
2.01	0.00614822
2.11	0.00502875
2.21	0.00387958
2.31	0.00321028
2.41	0.00296565
2.51	0.00242822
2.61	0.0021914
2.71	0.00167377
2.81	0.00157153
2.91	0.00125345
3.01	0.00105557
3.11	0.000971689
3.21	0.000835074
3.31	0.000833326
3.41	0.000626336
3.51	0.000530645
3.61	0.000471971
3.71	0.000439986
3.81	0.00039871
3.91	0.00032904
