0.01	-1.30947	0.01381
0.11	-1.43245	0.0110031
0.21	-1.47147	0.0100485
0.31	-1.51305	0.00683107
0.41	-1.51179	0.00704749
0.51	-1.49251	0.0059852
0.61	-1.45281	0.0130602
0.71	-1.40725	0.0172982
0.81	-1.33533	0.0252307
0.91	-1.23547	0.0341813
1.01	-1.13248	0.0251861
1.11	-1.00566	0.0222171
1.21	-0.939886	0.0389914
1.31	-0.848803	0.0345339
1.41	-0.776079	0.0313216
1.51	-0.719884	0.0300844
1.61	-0.687667	0.0375273
1.71	-0.615364	0.0371117
1.81	-0.583309	0.0261201
1.91	-0.543141	0.0236416
2.01	-0.524234	0.0342413
2.11	-0.498105	0.0255493
2.21	-0.457858	0.0300433
2.31	-0.435706	0.022325
2.41	-0.435408	0.0425012
2.51	-0.411074	0.0315685
2.61	-0.405773	0.034864
2.71	-0.367947	0.0345943
2.81	-0.369821	0.033316
2.91	-0.341909	0.0321705
3.01	-0.324455	0.0314816
3.11	-0.321904	0.0283423
3.21	-0.30838	0.0225644
3.31	-0.316359	0.0369017
3.41	-0.282641	0.0322114
3.51	-0.264661	0.0509393
3.61	-0.260621	0.0204562
3.71	-0.256388	0.039426
3.81	-0.252356	0.0249922
3.91	-0.235781	0.0173398
